,Tweet Text,Tweet Datetime,Tweet Id,Twitter @ Name,User Id,User Location,Retweets,Favorites,Replied Tweet Id,Replied Tweet User Id Str,User Follower Counts,User Following Counts,Tweet Coordinates,Place Info,Hashtags,Keyword,Hashtag List,Clean_text,Score,Sentiment Class
39999,RT @pizzahut: Nothing is as it seems. You have to taste it to believe it. https://t.co/yNnIAYpUwh,2020-11-17 04:00:24,1.328548519444091e+18,igitsjustAndy,1.0453024059638948e+18,,16.0,0.0,,,71.0,250.0,,,[],pizzahut,,rtnothing is as it seems you have to taste it to believe it,0.9294683933258056,Positive
40000,"This felt like it was missing something, And I found what it was, Me. So I made a few tweaks. @pizzahut @KevinHart4real #notrealronald https://t.co/PWYbwEbnvv https://t.co/hpVE9uT5gR",2020-11-17 03:59:52,1.3285483844419912e+18,NotRealRonald,1.3277687969756242e+18,,0.0,0.0,,,2.0,11.0,,,['notrealronald'],pizzahut,['notrealronald'],this felt like it was missing something and i found what it was me so i made a few tweaks notrealronald,0.29138022661209106,Negative
40001,@pizzahut @BeyondMeat I mean pizza hit tastes like trash even without fake meat.,2020-11-17 03:56:31,1.3285475401621217e+18,CDebuff,2859857489.0,,0.0,0.0,1.3269068806025503e+18,11018442.0,5.0,33.0,,,[],pizzahut,,i mean pizza hit tastes like trash even without fake meat,0.5332736968994141,Positive
40002,"@nancithegreat @dominos @DJBombJahlaam @DJCandyRaine @WavyyBoogz @DiGiorno Damn that’s crazy @dominos left us hungry. 3 damn hrs

@pizzahut wouldn’t have done me like this",2020-11-17 03:55:46,1.3285473511668572e+18,BodegaGod,26922373.0,"Atlanta, GA",0.0,0.0,1.3285458403408527e+18,337235215.0,1865.0,792.0,,,[],pizzahut,,damn that is crazyleft us hungrydamn hrs would not have done me like thi,0.16833138465881348,Negative
40003,@pizzahut @BeyondMeat Delicious but too expensive compared to other pizzas. 😭,2020-11-17 03:55:38,1.3285473187910738e+18,syguevara8,758244259.0,San Antonio ,0.0,0.0,1.3269068806025503e+18,11018442.0,42.0,558.0,,,[],pizzahut,,delicious but too expensive compared to other pizzas loudly crying face,0.3307807147502899,Negative
40004,RT @BrentKemnitz: Original Pizza Hut on the @WichitaState campus. Amazing story. Just walked thru and saw the memorabilia and history. High…,2020-11-17 03:47:46,1.3285453392557752e+18,theraynoldo,2803882336.0,Wichita ,7.0,0.0,,,419.0,680.0,,,[],pizzahut,,rtoriginal pizza hut on thecampus amazing story just walked thru and saw the memorabilia and history high…,0.984970211982727,Positive
40005,@billcanzoneri @pizzahut @BeyondMeat i’m suspicious but willing,2020-11-17 03:46:26,1.3285450032333005e+18,glitterbombed,16355518.0,"Austin, TX",0.0,0.0,1.3283620272497746e+18,274299856.0,145.0,217.0,,,[],pizzahut,,i am suspicious but wil,0.04772606492042542,Negative
40006,@pizzahut @BeyondMeat I read it as planet based pizza and was wondering why bungie wasn't tagged. Whoops.,2020-11-17 03:46:24,1.3285449953899397e+18,Ya_boii_0nyx,864777973.0,My house,0.0,0.0,1.3269068806025503e+18,11018442.0,76.0,155.0,,,[],pizzahut,,i read it as planet based pizza and was wondering why bungie was not tagged whoops,0.44752585887908936,Negative
40007,Awwwww sheee****t https://t.co/1ReFhF0cKP,2020-11-17 03:43:45,1.3285443286883656e+18,ywebb2020,1595548356.0,,0.0,0.0,,,55.0,680.0,,,[],pizzahut,,awwwww sheeet,0.648997962474823,Positive
40008,"@pizzahut @BeyondMeat No plant based pepperoni, no plant based bacon, no plant based Meat Lovers pie with plant based bacon.",2020-11-17 03:43:37,1.3285442946810143e+18,baaaablacksheep,1.0492954413078816e+18,,0.0,0.0,1.3269068806025503e+18,11018442.0,90.0,1472.0,,,[],pizzahut,,no plant based pepperoni no plant based bacon no plant based meat lovers pie with plant based bacon,0.3591304123401642,Negative
40009,"@pizzahut @BeyondMeat Is it all vegan? If not, why even make this? You're targeting a demographic of vegetarians which is getting smaller all the time and going vegan.",2020-11-17 03:40:01,1.328543386622595e+18,winning7grams,599488717.0,,0.0,0.0,1.3269068806025503e+18,11018442.0,32.0,79.0,,,[],pizzahut,,is it all vegan if not why even make this you are targeting a demographic of vegetarians which is getting smaller all the time and going vegan,0.5716890096664429,Positive
