,Unnamed: 0,Tweet Id,Tweet Text,Hashtags,Favorites,Retweets,Twitter @ Name,User Id,Tweet Datetime,User Location,User Follower Counts,User Following Counts,Replied Tweet Id,Replied Tweet User Id,User Country,Keyword,Vader Sentiment Score,TextBlob Polarity,TextBlob Subjectivity,Tweet Date,Score,Label
0,0,1328182687446818818,when he brings me dinner and its a mcplant so i am not interested,[],0,0,capcorom,980340213275766784,2020-11-16 03:46:43,♡♔♡,78,83,1.328182139100287e+18,1.3053859206785065e+18,Error,mcplant,"{'neg': 0.186, 'neu': 0.814, 'pos': 0.0, 'compound': -0.3657}",-0.125,0.5,2020-11-16,0.39357778,Negative
1,1,1328181293457272833,mcplant waited until after the election results i see you,[],0,7,PollySueZen,1195917034313437184,2020-11-16 03:41:11,,1979,1566,,,USA,mcplant,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,2020-11-16,0.63558507,Positive
2,2,1328171949852422145,are you planning on trying this,[],0,0,981thebreeze,719263741775384576,2020-11-16 03:04:03,"San Francisco, CA",1078,1851,,,USA,mcplant,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,2020-11-16,0.91502476,Positive
3,3,1328169625121550337,this is really wrong if true gt green new meal new mcplant amp uk s meat tax corporations push fake food via,[],0,0,HannemanStuart,1197364672485150720,2020-11-16 02:54:49,,3,5,,25073877.0,USA,mcplant,"{'neg': 0.227, 'neu': 0.593, 'pos': 0.18, 'compound': -0.3246}",-0.09621212121212123,0.6265151515151516,2020-11-16,0.2779494,Negative
4,4,1328167984930623489,if gets like it can keep it is physical building and apply for renovations with while can join the mcplant and,[],0,0,MrsJonica,1300501744741486594,2020-11-16 02:48:18,,11,0,,,USA,mcplant,"{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.5719}",0.0,0.14285714285714285,2020-11-16,0.98292255,Positive
5,5,1328166582632263681,in the meantime mcplant and was gaining traction on being america s kitchen and added and to their pallet,[],0,0,MrsJonica,1300501744741486594,2020-11-16 02:42:44,,11,0,,,USA,mcplant,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.4215}",0.0,0.0,2020-11-16,0.9167832,Positive
6,6,1328153264056115205,mcplant ya i will mcplant mcplant deez nuts in ya face rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,[],4,0,Gignac__,748097562314444801,2020-11-16 01:49:48,Houston/Baltimore (He/Him),500,770,,,USA,mcplant,"{'neg': 0.07, 'neu': 0.638, 'pos': 0.292, 'compound': 0.8074}",0.0,0.0,2020-11-16,0.8705943000000002,Positive
7,7,1328152887449489411,turns out the big winner in the plant based burger wars is mcdonald s,[],0,9,rvnotone,113060573,2020-11-16 01:48:18,New Jersey,354,2307,,,USA,mcplant,"{'neg': 0.196, 'neu': 0.598, 'pos': 0.207, 'compound': 0.0516}",0.0,0.1,2020-11-16,0.7923735,Positive
8,8,1328150044164296705,the rundown november a fight club at mcgill mcdonald s releasing the mcplant and murder hornets are…,[],0,5,JillDeman,1266423544063201281,2020-11-16 01:37:01,,2,13,,,USA,mcplant,"{'neg': 0.36, 'neu': 0.64, 'pos': 0.0, 'compound': -0.8074}",0.0,0.0,2020-11-16,0.99156463,Positive
9,9,1328149584854405121,turns out the big winner in the plant based burger wars is mcdonald s,[],0,9,fritz_abria,1894265432,2020-11-16 01:35:11,,1713,1,,,USA,mcplant,"{'neg': 0.196, 'neu': 0.598, 'pos': 0.207, 'compound': 0.0516}",0.0,0.1,2020-11-16,0.7923735,Positive
